,Anna Hathaway,Chris Rock,Cillian Murphy,Mads Mikkelsen,Steven Yuen,Susan Cheng,Will Smith,Zoe Kravitz,Predicted Race,Predicted Gender,Predicted Age
Anna Hathaway,0.0,97.26523997228786,79.26434735427587,37.42455038951005,63.294030726094164,96.0812879170009,89.74821214833925,75.8797050141339,0,0,33.8
Chris Rock,97.26523997228786,0.0,79.84723937446209,91.39555821121823,82.11292122404889,80.03227971343074,97.36284558507201,71.55429158546895,0,0,48.4
Cillian Murphy,79.26434735427587,79.84723937446209,0.0,87.69336689516386,60.040604837617295,65.64083102364019,98.98998326220773,47.01435346083458,3,1,24.8
Mads Mikkelsen,37.42455038951005,91.39555821121823,87.69336689516386,0.0,72.95415091954395,98.17236676014717,79.52043477343017,74.3102032728101,0,0,32.8
Steven Yuen,63.294030726094164,82.11292122404889,60.040604837617295,72.95415091954395,0.0,88.90516333389688,80.18587923780215,49.33396222387243,3,0,29.6
Susan Cheng,96.0812879170009,80.03227971343074,65.64083102364019,98.17236676014717,88.90516333389688,0.0,93.45137536236086,66.74209580289332,0,1,31.8
Will Smith,89.74821214833925,97.36284558507201,98.98998326220773,79.52043477343017,80.18587923780215,93.45137536236086,0.0,76.09236620636639,1,0,30.0
Zoe Kravitz,75.8797050141339,71.55429158546895,47.01435346083458,74.3102032728101,49.33396222387243,66.74209580289332,76.09236620636639,0.0,0,1,31.6
